chrom	start	end	bcell_meth	bcell_depth	cd4_meth	cd4_depth	cd8_meth	cd8_depth	monocyte_meth	monocyte_depth	neutrophil_meth	neutrophil_depth	nk_meth	nk_depth
chr1	154610491	154610992	1378.0	1441.0	1352.0	1422.0	1323.0	1403.0	1080.0	1307.0	933.0	1825.0	1460.0	1525.0
chr1	159084871	159085372	544.0	570.0	550.0	572.0	619.0	642.0	99.0	567.0	83.0	607.0	535.0	569.0
chr1	161554316	161554817	249.0	255.0	261.0	271.0	293.0	305.0	12.0	257.0	13.0	356.0	332.0	341.0
chr1	161705274	161705775	168.0	1625.0	1368.0	1436.0	1327.0	1412.0	1000.0	1040.0	1494.0	1544.0	1387.0	1450.0
chr1	175522933	175523434	614.0	649.0	593.0	638.0	583.0	741.0	562.0	583.0	673.0	695.0	256.0	687.0
chr1	182320241	182320742	1117.0	1216.0	1181.0	1288.0	1350.0	1476.0	772.0	1279.0	609.0	1959.0	1219.0	1337.0
chr1	185603000	185603501	78.0	852.0	803.0	837.0	717.0	753.0	755.0	787.0	805.0	826.0	708.0	727.0
chr1	203753269	203753770	541.0	1453.0	1338.0	1401.0	1484.0	1555.0	1036.0	1076.0	1550.0	1618.0	1360.0	1431.0
chr1	211583287	211583788	688.0	728.0	715.0	762.0	759.0	799.0	120.0	630.0	101.0	880.0	673.0	719.0
chr1	212480608	212481109	730.0	864.0	797.0	912.0	413.0	865.0	735.0	816.0	695.0	774.0	35.0	810.0
chr1	221705291	221705792	1299.0	1391.0	1404.0	1497.0	1330.0	1421.0	1022.0	1369.0	1588.0	1979.0	1515.0	1635.0
chr1	226736452	226736953	2093.0	2327.0	81.0	1933.0	279.0	2224.0	1714.0	1865.0	2370.0	2651.0	1531.0	2003.0
chr1	227607393	227607894	344.0	365.0	324.0	333.0	230.0	386.0	353.0	368.0	360.0	381.0	78.0	316.0
chr1	230003977	230004478	1183.0	1296.0	1196.0	1393.0	916.0	1166.0	273.0	1089.0	83.0	1641.0	1069.0	1235.0
chr1	233277507	233278008	638.0	660.0	693.0	711.0	624.0	643.0	180.0	555.0	306.0	742.0	667.0	694.0
chr1	236424788	236425289	347.0	1175.0	1100.0	1163.0	1094.0	1159.0	988.0	1041.0	1312.0	1400.0	868.0	940.0
chr1	241596637	241597138	293.0	896.0	853.0	885.0	801.0	849.0	640.0	729.0	848.0	901.0	826.0	869.0
chr1	243267283	243267784	4456.0	4912.0	4438.0	4782.0	4648.0	4982.0	1744.0	4766.0	2078.0	6604.0	4006.0	4400.0
chr1	243267292	243267793	4456.0	4912.0	4438.0	4782.0	4648.0	4982.0	1744.0	4766.0	2078.0	6604.0	4006.0	4400.0
chr1	244965544	244966045	799.0	890.0	836.0	884.0	796.0	845.0	153.0	798.0	313.0	1044.0	819.0	886.0
chr10	29687377	29687878	861.0	922.0	915.0	975.0	929.0	986.0	174.0	916.0	29.0	1145.0	784.0	884.0
chr10	30557799	30558300	1239.0	1345.0	1142.0	1251.0	1087.0	1198.0	223.0	1020.0	308.0	1619.0	1122.0	1216.0
chr10	32032477	32032978	419.0	569.0	456.0	602.0	475.0	646.0	435.0	600.0	132.0	610.0	367.0	490.0
chr10	48671438	48671939	241.0	2445.0	2227.0	2429.0	2019.0	2238.0	1726.0	1876.0	2739.0	2941.0	2052.0	2324.0
chr10	68038571	68039072	808.0	832.0	705.0	727.0	701.0	728.0	321.0	711.0	206.0	747.0	681.0	702.0
chr10	70610922	70611423	2244.0	2366.0	2454.0	2652.0	1098.0	3074.0	2148.0	2250.0	3268.0	3414.0	214.0	3158.0
chr10	70610952	70611453	2244.0	2366.0	2454.0	2652.0	1098.0	3074.0	2148.0	2250.0	3268.0	3414.0	214.0	3158.0
chr10	70616862	70617363	670.0	698.0	605.0	696.0	226.0	741.0	668.0	686.0	670.0	707.0	51.0	761.0
chr10	71693955	71694456	360.0	1363.0	1463.0	1588.0	1293.0	1460.0	291.0	1327.0	1610.0	2098.0	1378.0	1605.0
chr10	96726592	96727093	1578.0	3822.0	3614.0	3812.0	3356.0	3626.0	2506.0	3014.0	4012.0	4540.0	3720.0	3972.0
chr10	96726630	96727131	1578.0	3822.0	3614.0	3812.0	3356.0	3626.0	2506.0	3014.0	4012.0	4540.0	3720.0	3972.0
chr10	113864373	113864874	1151.0	1186.0	1211.0	1248.0	1185.0	1216.0	721.0	1114.0	913.0	1498.0	1034.0	1059.0
chr11	2384854	2385355	152.0	1442.0	1092.0	1377.0	1038.0	1551.0	1115.0	1279.0	1562.0	1827.0	1062.0	1493.0
chr11	45938669	45939170	305.0	1793.0	1645.0	1712.0	1382.0	1436.0	1095.0	1343.0	1756.0	1840.0	1508.0	1590.0
chr11	47615785	47616286	1080.0	1183.0	1091.0	1166.0	855.0	1022.0	789.0	883.0	1091.0	1223.0	321.0	988.0
chr11	47712716	47713217	1687.0	1771.0	1690.0	1738.0	1732.0	1798.0	1164.0	1527.0	771.0	2237.0	1567.0	1643.0
chr11	60972113	60972614	1218.0	1534.0	54.0	1418.0	60.0	1340.0	830.0	1124.0	1390.0	1744.0	888.0	1326.0
chr11	60972158	60972659	1432.0	1759.0	74.0	1626.0	98.0	1568.0	990.0	1291.0	1646.0	2017.0	1077.0	1521.0
chr11	60972975	60973476	646.0	706.0	25.0	715.0	64.0	718.0	514.0	558.0	806.0	875.0	600.0	665.0
chr11	61102391	61102892	1311.0	1736.0	101.0	2042.0	131.0	1672.0	1407.0	1764.0	1718.0	2117.0	1336.0	1719.0
chr11	61102780	61103281	8706.0	9229.0	356.0	9848.0	495.0	8107.0	6559.0	6993.0	9510.0	10187.0	7961.0	8656.0
chr11	61102783	61103284	8706.0	9229.0	356.0	9848.0	495.0	8107.0	6559.0	6993.0	9510.0	10187.0	7961.0	8656.0
chr11	61102789	61103290	8706.0	9229.0	356.0	9848.0	495.0	8107.0	6559.0	6993.0	9510.0	10187.0	7961.0	8656.0
chr11	61102827	61103328	8382.0	8897.0	340.0	9436.0	459.0	7747.0	6211.0	6633.0	9114.0	9759.0	7657.0	8332.0
chr11	61102843	61103344	7982.0	8457.0	315.0	8931.0	434.0	7372.0	5786.0	6208.0	8629.0	9259.0	7307.0	7967.0
chr11	61102947	61103448	7724.0	8195.0	308.0	8529.0	426.0	7194.0	5488.0	5906.0	8394.0	9022.0	7087.0	7781.0
chr11	64779784	64780285	1161.0	1581.0	385.0	1682.0	789.0	1617.0	1169.0	1384.0	1519.0	1800.0	1376.0	1567.0
chr11	65022604	65023105	2412.0	2698.0	3050.0	3282.0	3086.0	3386.0	2070.0	2962.0	2344.0	4280.0	3004.0	3280.0
chr11	65022620	65023121	2412.0	2698.0	3050.0	3282.0	3086.0	3386.0	2070.0	2962.0	2344.0	4280.0	3004.0	3280.0
chr11	76070624	76071125	566.0	602.0	629.0	653.0	593.0	614.0	351.0	634.0	202.0	722.0	511.0	565.0
chr11	76277793	76278294	169.0	1181.0	936.0	1105.0	847.0	1025.0	845.0	943.0	1267.0	1420.0	988.0	1160.0
chr11	83063959	83064460	125.0	369.0	374.0	388.0	414.0	423.0	294.0	304.0	407.0	422.0	313.0	325.0
chr11	117189640	117190141	149.0	1473.0	1339.0	1402.0	1257.0	1393.0	420.0	1176.0	1448.0	1747.0	1237.0	1331.0
chr11	118340143	118340644	1382.0	1466.0	54.0	1684.0	104.0	1534.0	1240.0	1324.0	1466.0	1596.0	1246.0	1340.0
chr11	118340211	118340712	1471.0	1559.0	59.0	1805.0	113.0	1649.0	1341.0	1430.0	1590.0	1728.0	1336.0	1436.0
chr11	118341349	118341850	1306.0	1382.0	48.0	1426.0	48.0	1466.0	1320.0	1380.0	1612.0	1716.0	1112.0	1252.0
chr11	118341557	118342058	1468.0	1549.0	54.0	1583.0	61.0	1627.0	1445.0	1513.0	1789.0	1898.0	1248.0	1401.0
chr11	118342172	118342673	1400.0	1518.0	48.0	1471.0	43.0	1579.0	1090.0	1191.0	1807.0	1930.0	1192.0	1317.0
chr11	118342365	118342866	1665.0	1827.0	62.0	1801.0	63.0	1901.0	1266.0	1443.0	2098.0	2377.0	1426.0	1628.0
chr11	118342720	118343221	1012.0	1095.0	42.0	1156.0	48.0	1083.0	889.0	999.0	1024.0	1247.0	888.0	1058.0
chr11	118343880	118344381	884.0	968.0	34.0	1228.0	38.0	914.0	850.0	908.0	1022.0	1088.0	960.0	1060.0
chr11	118343962	118344463	1097.0	1189.0	36.0	1403.0	44.0	1110.0	1044.0	1104.0	1250.0	1320.0	1117.0	1229.0
chr11	118345133	118345634	129.0	133.0	10.0	157.0	8.0	142.0	147.0	152.0	155.0	162.0	128.0	135.0
chr11	122672820	122673321	411.0	428.0	512.0	521.0	427.0	448.0	125.0	438.0	165.0	553.0	436.0	460.0
chr11	123504517	123505018	514.0	555.0	450.0	493.0	596.0	634.0	387.0	494.0	200.0	669.0	508.0	554.0
chr11	129930538	129931039	1000.0	1085.0	903.0	950.0	864.0	910.0	47.0	1000.0	45.0	1229.0	863.0	963.0
chr12	6786689	6787190	543.0	801.0	32.0	858.0	373.0	738.0	395.0	630.0	497.0	820.0	327.0	700.0
chr12	6790471	6790972	850.0	989.0	31.0	998.0	814.0	1047.0	756.0	933.0	904.0	1116.0	791.0	985.0
chr12	6790796	6791297	1279.0	1434.0	239.0	1653.0	1236.0	1509.0	966.0	1150.0	1472.0	1712.0	1376.0	1584.0
chr12	9604315	9604816	940.0	960.0	969.0	1014.0	906.0	976.0	739.0	766.0	1130.0	1175.0	104.0	1015.0
chr12	9828120	9828621	581.0	642.0	660.0	695.0	494.0	584.0	552.0	574.0	746.0	771.0	31.0	531.0
chr12	10279851	10280352	556.0	593.0	521.0	602.0	319.0	625.0	461.0	488.0	631.0	657.0	109.0	514.0
chr12	10312320	10312821	7103.0	7663.0	7106.0	7457.0	4629.0	8265.0	7234.0	7510.0	7221.0	7538.0	570.0	9303.0
chr12	10312417	10312918	8997.0	9648.0	8978.0	9399.0	5827.0	10367.0	8846.0	9147.0	9010.0	9401.0	756.0	11981.0
chr12	10312423	10312924	8835.0	9472.0	8776.0	9193.0	5701.0	10125.0	8674.0	8967.0	8820.0	9203.0	742.0	11795.0
chr12	10312636	10313137	6970.0	7492.0	6854.0	7289.0	4381.0	7674.0	6405.0	6668.0	6803.0	7116.0	646.0	9157.0
chr12	10385419	10385920	409.0	456.0	340.0	379.0	35.0	398.0	348.0	378.0	401.0	434.0	62.0	432.0
chr12	10387378	10387879	2421.0	2670.0	2523.0	2730.0	159.0	2682.0	2157.0	2307.0	2457.0	2619.0	201.0	2439.0
chr12	10387381	10387882	2421.0	2670.0	2523.0	2730.0	159.0	2682.0	2157.0	2307.0	2457.0	2619.0	201.0	2439.0
chr12	10387398	10387899	2421.0	2670.0	2523.0	2730.0	159.0	2682.0	2157.0	2307.0	2457.0	2619.0	201.0	2439.0
chr12	10387829	10388330	326.0	368.0	329.0	345.0	13.0	397.0	351.0	361.0	385.0	408.0	49.0	296.0
chr12	10394622	10395123	805.0	928.0	693.0	853.0	84.0	1052.0	762.0	851.0	963.0	1061.0	146.0	819.0
chr12	12449596	12450097	1522.0	1592.0	1515.0	1604.0	1450.0	1530.0	231.0	1306.0	112.0	1691.0	1288.0	1380.0
chr12	55935581	55936082	3258.0	3415.0	367.0	3722.0	2266.0	4048.0	2828.0	2937.0	3883.0	4069.0	3406.0	3591.0
chr12	55935869	55936370	2477.0	2608.0	236.0	2974.0	1811.0	3287.0	2348.0	2422.0	3177.0	3314.0	2702.0	2844.0
chr12	55935875	55936376	2325.0	2450.0	228.0	2822.0	1743.0	3135.0	2254.0	2322.0	3027.0	3136.0	2578.0	2698.0
chr12	68783886	68784387	1082.0	1170.0	1204.0	1265.0	998.0	1090.0	141.0	910.0	172.0	1493.0	1128.0	1203.0
chr12	121292125	121292626	1226.0	1539.0	1560.0	1729.0	1649.0	1820.0	650.0	1467.0	622.0	2265.0	1584.0	1716.0
chr12	123750052	123750553	840.0	884.0	810.0	872.0	677.0	913.0	806.0	837.0	962.0	999.0	84.0	931.0
chr12	123750956	123751457	6025.0	6226.0	5936.0	6200.0	4421.0	6041.0	5131.0	5356.0	6261.0	6518.0	809.0	5799.0
chr12	123750967	123751468	5885.0	6075.0	5798.0	6051.0	4322.0	5905.0	4986.0	5206.0	6089.0	6339.0	722.0	5658.0
chr12	123750987	123751488	6155.0	6359.0	6004.0	6263.0	4550.0	6137.0	5186.0	5416.0	6347.0	6619.0	952.0	5906.0
chr12	123751028	123751529	5091.0	5271.0	4815.0	5008.0	3711.0	5020.0	4150.0	4334.0	5114.0	5316.0	843.0	4865.0
chr12	124634156	124634657	1317.0	1652.0	1629.0	1794.0	1489.0	1712.0	703.0	1524.0	899.0	2166.0	1696.0	1860.0
chr12	131766287	131766788	212.0	1266.0	1255.0	1305.0	1379.0	1447.0	1096.0	1151.0	1441.0	1538.0	1155.0	1207.0
chr12	132056324	132056825	356.0	938.0	831.0	875.0	839.0	893.0	775.0	804.0	920.0	978.0	829.0	854.0
chr12	132070218	132070719	116.0	810.0	774.0	808.0	907.0	972.0	559.0	692.0	775.0	804.0	644.0	689.0
chr12	132536872	132537373	1521.0	1732.0	1505.0	1653.0	1229.0	1627.0	1303.0	1394.0	1779.0	1930.0	710.0	1702.0
chr13	28224852	28225353	253.0	497.0	428.0	454.0	503.0	542.0	22.0	494.0	198.0	534.0	426.0	514.0
chr13	32000413	32000914	471.0	554.0	492.0	552.0	454.0	519.0	54.0	404.0	76.0	666.0	550.0	605.0
chr13	32416290	32416791	808.0	835.0	784.0	816.0	722.0	755.0	695.0	721.0	678.0	842.0	678.0	701.0
chr13	40485332	40485833	633.0	836.0	54.0	908.0	119.0	987.0	716.0	790.0	996.0	1061.0	448.0	856.0
chr13	42892735	42893236	364.0	396.0	369.0	402.0	393.0	445.0	17.0	347.0	118.0	439.0	355.0	389.0
chr13	48535623	48536124	250.0	263.0	243.0	251.0	244.0	255.0	86.0	214.0	111.0	304.0	221.0	229.0
chr13	50715255	50715756	1404.0	1484.0	1302.0	1356.0	1189.0	1247.0	250.0	1218.0	268.0	1864.0	1234.0	1296.0
chr13	50829773	50830274	366.0	465.0	411.0	456.0	409.0	488.0	116.0	426.0	170.0	525.0	352.0	384.0
chr13	53017592	53018093	464.0	516.0	418.0	464.0	371.0	440.0	163.0	398.0	8.0	534.0	379.0	412.0
chr13	95712905	95713406	582.0	606.0	672.0	692.0	530.0	544.0	326.0	452.0	6.0	806.0	580.0	586.0
chr13	95712933	95713434	582.0	606.0	672.0	692.0	530.0	544.0	326.0	452.0	6.0	806.0	580.0	586.0
chr13	98569511	98570012	970.0	1033.0	974.0	1104.0	1030.0	1089.0	121.0	837.0	144.0	1311.0	1007.0	1055.0
chr13	99429667	99430168	197.0	1267.0	1339.0	1418.0	1112.0	1184.0	929.0	1024.0	1371.0	1482.0	1095.0	1145.0
chr13	110675605	110676106	262.0	2111.0	1964.0	2024.0	2011.0	2090.0	1435.0	1660.0	2135.0	2192.0	1774.0	1971.0
chr13	114125719	114126220	1446.0	1571.0	1643.0	1746.0	1385.0	1567.0	1176.0	1237.0	1835.0	1934.0	596.0	1829.0
chr14	22327525	22328026	612.0	697.0	36.0	41.0	19.0	23.0	587.0	642.0	756.0	838.0	607.0	692.0
chr14	22386882	22387383	1339.0	1510.0	0.0	0.0	21.0	25.0	1271.0	1393.0	1738.0	1906.0	1424.0	1574.0
chr14	22388080	22388581	962.0	1233.0	12.0	43.0	11.0	29.0	967.0	1120.0	1228.0	1445.0	1022.0	1231.0
chr14	22388137	22388638	766.0	928.0	6.0	34.0	4.0	20.0	788.0	924.0	904.0	1106.0	778.0	956.0
chr14	22389130	22389631	784.0	927.0	4.0	10.0	20.0	30.0	643.0	709.0	976.0	1027.0	754.0	887.0
chr14	22389502	22390003	902.0	1040.0	6.0	9.0	25.0	31.0	750.0	828.0	1087.0	1175.0	909.0	1030.0
chr14	22389814	22390315	733.0	754.0	7.0	8.0	56.0	56.0	720.0	750.0	713.0	778.0	705.0	767.0
chr14	22390992	22391493	354.0	607.0	8.0	17.0	0.0	12.0	350.0	479.0	438.0	568.0	357.0	536.0
chr14	22391688	22392189	60.0	348.0	11.0	15.0	15.0	20.0	11.0	291.0	18.0	416.0	44.0	333.0
chr14	22403651	22404152	743.0	800.0	0.0	0.0	18.0	21.0	725.0	766.0	875.0	930.0	703.0	761.0
chr14	22416394	22416895	618.0	639.0	9.0	10.0	8.0	8.0	522.0	541.0	620.0	652.0	551.0	571.0
chr14	22418463	22418964	81.0	668.0	3.0	8.0	12.0	30.0	24.0	546.0	36.0	807.0	33.0	602.0
chr14	22419495	22419996	1132.0	1296.0	0.0	0.0	0.0	0.0	792.0	1114.0	748.0	1310.0	864.0	1296.0
chr14	22419498	22419999	1132.0	1296.0	0.0	0.0	0.0	0.0	792.0	1114.0	748.0	1310.0	864.0	1296.0
chr14	22430470	22430971	996.0	1041.0	19.0	24.0	22.0	32.0	836.0	886.0	1096.0	1218.0	851.0	967.0
chr14	22430889	22431390	480.0	506.0	0.0	4.0	0.0	0.0	338.0	352.0	524.0	552.0	464.0	498.0
chr14	22430907	22431408	480.0	506.0	0.0	4.0	0.0	0.0	338.0	352.0	524.0	552.0	464.0	498.0
chr14	22431332	22431833	743.0	835.0	0.0	0.0	9.0	17.0	769.0	817.0	952.0	1007.0	754.0	803.0
chr14	22432244	22432745	133.0	666.0	1.0	9.0	0.0	0.0	131.0	666.0	128.0	789.0	321.0	719.0
chr14	22439439	22439940	550.0	568.0	0.0	0.0	0.0	0.0	481.0	512.0	627.0	656.0	476.0	492.0
chr14	22445951	22446452	395.0	415.0	0.0	0.0	0.0	0.0	316.0	339.0	390.0	405.0	321.0	333.0
chr14	22448082	22448583	170.0	1382.0	0.0	0.0	0.0	0.0	144.0	1291.0	169.0	1412.0	54.0	1148.0
chr14	22448555	22449056	62.0	1032.0	0.0	0.0	0.0	0.0	2.0	886.0	58.0	1061.0	35.0	911.0
chr14	22448567	22449068	62.0	1032.0	0.0	0.0	0.0	0.0	2.0	886.0	58.0	1061.0	35.0	911.0
chr14	22449843	22450344	994.0	1031.0	5.0	8.0	0.0	0.0	957.0	993.0	1098.0	1161.0	378.0	1083.0
chr14	22452697	22453198	218.0	256.0	3.0	5.0	0.0	5.0	135.0	228.0	205.0	358.0	64.0	245.0
chr14	22455364	22455865	649.0	674.0	12.0	32.0	7.0	20.0	539.0	555.0	677.0	697.0	259.0	634.0
chr14	22501541	22502042	746.0	775.0	29.0	332.0	23.0	250.0	563.0	606.0	763.0	800.0	594.0	642.0
chr14	22504350	22504851	1384.0	1800.0	102.0	817.0	159.0	1180.0	1160.0	1562.0	1872.0	2563.0	1345.0	1745.0
chr14	22504389	22504890	1300.0	1690.0	100.0	762.0	154.0	1114.0	1104.0	1476.0	1804.0	2424.0	1272.0	1642.0
chr14	22519099	22519600	1101.0	1179.0	144.0	744.0	126.0	928.0	948.0	976.0	1236.0	1290.0	945.0	999.0
chr14	22527366	22527867	1139.0	1237.0	214.0	1207.0	141.0	1188.0	1063.0	1117.0	1359.0	1401.0	972.0	1020.0
chr14	22527702	22528203	3718.0	3901.0	1057.0	4452.0	831.0	5241.0	3486.0	3709.0	4213.0	4398.0	2643.0	2778.0
chr14	22527706	22528207	3718.0	3901.0	1057.0	4452.0	831.0	5241.0	3486.0	3709.0	4213.0	4398.0	2643.0	2778.0
chr14	22527714	22528215	3718.0	3901.0	1057.0	4452.0	831.0	5241.0	3486.0	3709.0	4213.0	4398.0	2643.0	2778.0
chr14	22528877	22529378	1378.0	1432.0	117.0	1097.0	88.0	1150.0	1338.0	1380.0	1321.0	1379.0	1282.0	1384.0
chr14	22529091	22529592	2230.0	2311.0	132.0	1783.0	151.0	1768.0	2241.0	2297.0	2090.0	2170.0	2158.0	2263.0
chr14	22529149	22529650	1980.0	2049.0	100.0	1565.0	139.0	1538.0	1993.0	2043.0	1820.0	1884.0	1900.0	1989.0
chr14	22546108	22546609	2298.0	2391.0	257.0	2226.0	125.0	2493.0	1727.0	1826.0	2321.0	2435.0	1958.0	2071.0
chr14	22546138	22546639	2298.0	2391.0	257.0	2226.0	125.0	2493.0	1727.0	1826.0	2321.0	2435.0	1958.0	2071.0
chr14	22546269	22546770	2852.0	2959.0	317.0	2830.0	161.0	3101.0	2169.0	2314.0	2995.0	3127.0	2428.0	2583.0
chr14	22546429	22546930	1978.0	2084.0	197.0	2128.0	147.0	2414.0	1671.0	1844.0	2250.0	2421.0	1717.0	1865.0
chr14	22548742	22549243	632.0	861.0	132.0	777.0	118.0	841.0	532.0	661.0	690.0	924.0	625.0	808.0
chr14	50780297	50780798	923.0	986.0	843.0	895.0	707.0	929.0	836.0	867.0	1000.0	1041.0	518.0	935.0
chr14	56333975	56334476	561.0	653.0	574.0	652.0	568.0	707.0	106.0	686.0	633.0	685.0	550.0	601.0
chr14	77588314	77588815	918.0	2192.0	1860.0	1920.0	1920.0	1982.0	1528.0	1602.0	2038.0	2214.0	1940.0	1998.0
chr14	77588318	77588819	918.0	2192.0	1860.0	1920.0	1920.0	1982.0	1528.0	1602.0	2038.0	2214.0	1940.0	1998.0
chr14	91870098	91870599	1138.0	2230.0	236.0	2316.0	424.0	2298.0	1126.0	1810.0	1476.0	2536.0	1125.0	2020.0
chr14	99188942	99189443	12838.0	14172.0	595.0	19883.0	1597.0	17312.0	14081.0	15552.0	17073.0	18830.0	13883.0	14974.0
chr14	99188953	99189454	12838.0	14172.0	595.0	19883.0	1597.0	17312.0	14081.0	15552.0	17073.0	18830.0	13883.0	14974.0
chr14	99188993	99189494	13500.0	14752.0	619.0	20697.0	1595.0	18052.0	14741.0	16032.0	17863.0	19452.0	14461.0	15482.0
chr14	99189006	99189507	13500.0	14752.0	619.0	20697.0	1595.0	18052.0	14741.0	16032.0	17863.0	19452.0	14461.0	15482.0
chr14	99189120	99189621	13448.0	14448.0	503.0	20049.0	1559.0	17688.0	14641.0	15688.0	17591.0	18888.0	13993.0	14930.0
chr14	99189136	99189637	13712.0	14751.0	545.0	20364.0	1592.0	18015.0	14932.0	15994.0	17954.0	19278.0	14209.0	15158.0
chr14	99189160	99189661	13882.0	14951.0	583.0	20552.0	1636.0	18213.0	15108.0	16180.0	18186.0	19526.0	14349.0	15304.0
chr14	99189233	99189734	11404.0	12277.0	464.0	16933.0	1223.0	15063.0	12567.0	13450.0	14973.0	16068.0	11276.0	12112.0
chr14	99240607	99241108	2127.0	2417.0	152.0	3144.0	273.0	3286.0	2187.0	2560.0	2719.0	3178.0	1869.0	2283.0
chr14	99255990	99256491	974.0	1164.0	179.0	1248.0	312.0	1335.0	841.0	965.0	1276.0	1407.0	1113.0	1225.0
chr14	99259204	99259705	3774.0	4494.0	174.0	5016.0	400.0	4736.0	3136.0	3880.0	3926.0	4768.0	3238.0	3950.0
chr14	99259213	99259714	3774.0	4494.0	174.0	5016.0	400.0	4736.0	3136.0	3880.0	3926.0	4768.0	3238.0	3950.0
chr14	99264973	99265474	641.0	1056.0	48.0	964.0	53.0	904.0	543.0	863.0	713.0	1202.0	784.0	978.0
chr14	100393816	100394317	1234.0	1268.0	1228.0	1300.0	918.0	1458.0	1044.0	1080.0	1587.0	1650.0	403.0	1344.0
chr14	105874679	105875180	9.0	16.0	631.0	719.0	528.0	648.0	646.0	702.0	759.0	853.0	582.0	662.0
chr14	106755886	106756387	45.0	137.0	105.0	113.0	128.0	165.0	138.0	156.0	193.0	218.0	147.0	171.0
chr15	32453199	32453700	309.0	348.0	242.0	265.0	192.0	301.0	151.0	170.0	249.0	297.0	16.0	236.0
chr15	32517964	32518465	2099.0	2175.0	2124.0	2226.0	2303.0	2385.0	928.0	2135.0	1276.0	3025.0	2235.0	2332.0
chr15	32518466	32518967	161.0	177.0	233.0	241.0	221.0	233.0	3.0	232.0	7.0	326.0	201.0	220.0
chr15	41795449	41795950	1198.0	2118.0	1952.0	2015.0	1674.0	1757.0	1625.0	1675.0	1952.0	2014.0	1630.0	1694.0
chr15	58614820	58615321	1594.0	1734.0	1333.0	1430.0	791.0	1650.0	1312.0	1413.0	1426.0	1719.0	84.0	1572.0
chr15	59792241	59792742	1569.0	1744.0	474.0	1457.0	647.0	1629.0	1205.0	1289.0	1614.0	1737.0	1255.0	1460.0
chr15	63487773	63488274	715.0	854.0	846.0	916.0	782.0	952.0	410.0	714.0	723.0	981.0	747.0	825.0
chr15	64692245	64692746	483.0	570.0	532.0	618.0	523.0	600.0	254.0	506.0	366.0	659.0	509.0	596.0
chr15	69499485	69499986	1167.0	1292.0	1156.0	1261.0	965.0	1281.0	922.0	998.0	1379.0	1506.0	264.0	1192.0
chr15	75043165	75043666	112.0	554.0	450.0	559.0	403.0	576.0	21.0	457.0	77.0	668.0	77.0	486.0
chr15	88636049	88636550	3560.0	3843.0	354.0	3795.0	908.0	4470.0	3082.0	3238.0	4163.0	4379.0	3378.0	3988.0
